show,season,unique_id,full_name,age,hometown,occupation
Bachelorette,5,05_MIKE_S,Mike Steinberg,28,"New York, New York",Baseball Camp Owner
Bachelorette,5,05_REID_R,Reid Rosenthal,30,"Upper Dublin, Pennsylvania",Realtor
Bachelorette,5,05_ROBBY_D,Robby Descant,25,"Spring, Texas",Bartender
Bachelorette,5,05_SASHA_P,Sasha Petrovic,27,"Houston, Texas",Oil & Gas Consultant
Bachelorette,5,05_SIMON_A,Simon Ambrose,26,"Bradford, England",Soccer Coach
Bachelorette,5,05_STEPHEN_R,Stephen Reich,30,"Lexington, Massachusetts",Lawyer
Bachelorette,5,05_TANNER_F,Tanner Fanello,28,"Derby, Kansas",Sales Representative
Bachelorette,5,05_TANNER_P,Tanner Pope,30,"Brownfield, Texas",Financial Analyst
Bachelorette,5,05_WES_H,Wes Hayden,32,"Huntsville, Texas",Musician
Bachelor,6,06_ABBY,Abby,30,"Henderson, Nevada",Acrobat/Dancer
Bachelor,6,06_ALMA,Alma,35,"Astoria, Oregon",Cafe Owner
Bachelor,6,06_AMANDA,Amanda,27,"New York, New York",Cosmetic Buyer
Bachelor,6,06_AMY,Amy,27,"San Diego, California",Marketing Consultant
Bachelor,6,06_ANDREA,Andrea,33,"Denver, Colorado",Dental Hygienist
Bachelor,6,06_ASHLEY,Ashley,31,"Santa Barbara, California",Teacher
Bachelor,6,06_CAROLYN,Carolyn,36,"Tulsa, Oklahoma",Financial Advisor
Bachelor,6,06_CHERESSE,Cheresse,31,"St. Louis, Missouri",Director of Marketing
Bachelor,6,06_CYNTHIA,Cynthia,37,"Hermosa Beach, California",Charity Foundation Director
Bachelor,6,06_ELIZABETH,Elizabeth,29,"Chicago, Illinois",Pharmaceutical Sales Representative
Bachelor,6,06_HEATHER,Heather Cranford,30,"Dallas, Texas",Flight Attendant
Bachelor,6,06_JAYNE,Jayne,37,"Key Largo, Florida",Dog Groomer/Makeup Artist
Bachelor,6,06_JENNIFER,Jennifer,31,"Seattle, Washington",Business Account Executive
Bachelor,6,06_KELLY,Kelly,34,"Beverly Hills, California",Model/Actress
Bachelor,6,06_KERRY,Kerry,31,"Marina del Rey, California",Traveling Nurse
Bachelor,6,06_KRISTIE,Kristie,32,"Ontario, Canada",Bar/Restaurant Owner
Bachelor,6,06_KRISTIN,Kristin,28,"Pensacola, Florida",Office Manager/Real Estate Agent
Bachelor,6,06_KRYSTA,Krysta,28,"Oklahoma City, Oklahoma",Corporate Financial Analyst
Bachelor,6,06_LEINA,Leina,28,"Chula Vista, California",Advertising
Bachelor,6,06_LISA,Lisa,33,"West Palm Beach, Florida",Teacher
Bachelor,6,06_MARY,Mary,35,"Tampa, Florida",Sales Manager
Bachelor,6,06_MELINDA,Melinda,39,"Nashville, Tennessee",Photographer/Songwriter
Bachelor,6,06_NATALIE,Natalie,34,"Santa Monica, California",Writer
Bachelor,6,06_NICOLE,Nicole,28,"Vernon Hills, Illinois",Recruiting
Bachelor,6,06_SUSIE,Susie,32,"Hollywood, California",Insurance Broker
